Last: mdl.locTime.Y,Mean: mdl.climate.microclim.RsDif,Mean: mdl.climate.microclim.RsDir,Mean: mdl.climate.microclim.RsUp,Mean: mdl.climate.microclim.RthDw,Mean: mdl.climate.microclim.RthUp,Mean: mdl.climate.microclim.TaC,Sum: mdl.climate.microclim.Rain,Mean: mdl.climate.microclim.d,Sum: mdl.forest.ETR,Sum: mdl.forest.NEE,Mean: mdl.forest.Rnet,Mean: mdl.forest.H,Last: mdl.forest.treeStand.Age,Mean: mdl.forest.treeStand.LeafFall,Mean: mdl.forest.treeStand.SoilRootsWaterPotential,Sum: mdl.forest.treeStand.Rm,Sum: mdl.forest.treeStand.Rg,Mean: mdl.forest.treeStand.BranchSenescence,Mean: mdl.forest.treeStand.RootSenescence,Last: mdl.forest.treeStand.IStress,Last: mdl.forest.treeStand.treesCount,Last: mdl.forest.treeStand.DBHmean,Last: mdl.forest.treeStand.HEIGHTmean,Last: mdl.forest.treeStand.W,Last: mdl.forest.treeStand.Wa,Last: mdl.forest.treeStand.Wr,Last: mdl.forest.treeStand.Wstem,Last: mdl.forest.treeStand.WProducted,Mean: mdl.forest.treeStand.canopy.LAI,Mean: mdl.forest.treeStand.canopy.Rnet,Mean: mdl.forest.treeStand.canopy.H,Sum: mdl.forest.treeStand.canopy.Transpiration,Sum: mdl.forest.treeStand.canopy.Evaporation,Sum: mdl.forest.treeStand.canopy.Assimilation,Sum: mdl.forest.underStorey.Rm,Sum: mdl.forest.underStorey.Rg,Mean: mdl.forest.underStorey.foliage.LitterFall,Mean: mdl.forest.underStorey.roots.LitterFall,Mean: mdl.forest.underStorey.perennial.LitterFall,Max: mdl.forest.underStorey.canopy.LAI,Mean: mdl.forest.underStorey.canopy.Rnet,Mean: mdl.forest.underStorey.canopy.H,Sum: mdl.forest.underStorey.canopy.Transpiration,Sum: mdl.forest.underStorey.canopy.Evaporation,Sum: mdl.forest.underStorey.canopy.Assimilation,Mean: mdl.forest.soil.surface.Rnet,Mean: mdl.forest.soil.surface.H,Sum: mdl.forest.soil.surface.ETR,Mean: mdl.forest.soil.waterCycle.MoistureDeficit,Mean: mdl.forest.soil.waterCycle.RootLayerWaterPotential,Mean: mdl.forest.soil.carbonCycle.Ra,Mean: mdl.forest.soil.carbonCycle.Rh,Last: mdl.forest.soil.carbonCycle.HUM,Last: mdl.forest.soil.carbonCycle.BIO,Last: mdl.forest.soil.carbonCycle.DPM,Last: mdl.forest.soil.carbonCycle.RPM,Last: mdl.forest.soil.carbonCycle.HUM_age,Last: mdl.forest.soil.carbonCycle.BIO_age,Last: mdl.forest.soil.carbonCycle.DPM_age,Last: mdl.forest.soil.carbonCycle.RPM_age,Mean: mdl.manager.harvest_Wstem,Mean: mdl.manager.harvest_Wcrown,Mean: mdl.manager.harvest_Wstub,Mean: mdl.manager.harvest_Wtaproot,Mean: mdl.manager.harvest_Wneedles
1987, 42.5152, 31.9314, 2.86859, 259.932, 309.03, -1.65, 0, 124.225, 0.705506, -0.220725, 25.3487, 7.2368, 17, 0.00219698, 0, 0.852809, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.64004, 23.1224, 10.354, 0.378662, 0.0623056, 4.9184, 0.0148128, 0, 0, 0, 9.90995E-05, 0, 0, 0, 0, 0, 0, 4.54518, -3.11719, 0.264538, 0, 0, 0.00592091, 0.159585, 7688.9, 586.744, 325.873, 520.926, 219.894, 37.8694, 4.9578, 11.8891, 0, 0, 0, 0, 0, 
1987, 25.5923, 0, 1.13473, 268.165, 282.41, -7.6, 0, 108.508, 0.42068, 0.985318, 11.3472, 0.668527, 17, 0.00219698, 0, 0.564328, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.63448, 8.58771, 2.1122, 0.216223, 0.00364664, 2.50369, 0.0124748, 0, 0, 0, 0.000197906, 0, 0, 0, 0, 0, 0, 4.40333, -1.44368, 0.20081, 0, 0, 0.00510852, 0.121342, 7689, 586.688, 325.648, 522.137, 219.892, 37.8664, 4.94359, 11.868, 0, 0, 0, 0, 0, 
1987, 20.9397, 0, 0.929879, 274.305, 288.501, -6.1, 0, 11.3527, 0.0410629, 0.32443, 6.74358, 3.30853, 17, 0.00219698, 0, 0.605063, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.62893, 3.85371, 2.85693, 0.0217521, 6.25652E-05, 2.08547, 0.0108075, 0, 0, 0, 0.00247006, 0, 0, 0, 0, 0, 0, 1.01032, 0.451603, 0.0192483, 0, 0, 0.00444346, 0.0747511, 7689.08, 586.647, 325.889, 523.347, 219.891, 37.865, 4.92968, 11.8473, 0, 0, 0, 0, 0, 
1987, 38.292, 27.3166, 2.53374, 249.695, 296.173, -5.05, 6, 18.7753, 0.123793, -2.6398, 19.1312, 13.14, 17, 0.00219698, 0, 0.692542, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.62337, 15.9519, 12.8575, 0.0529685, 0.0505921, 4.66336, 0.00993382, 0, 0, 0, 0.00240831, 0, 0, 0, 0, 0, 0, 0.86599, 0.282542, 0.0202326, 0, 0, 0.00411128, 0.0550448, 7689.14, 586.613, 326.313, 524.55, 219.891, 37.8642, 4.91609, 11.827, 0, 0, 0, 0, 0, 
1987, 13.9598, 0, 0.621849, 285.161, 297.776, -3.55, 0, 34.7163, 0.462811, 0.435288, 1.34415, -12.6132, 17, 0.00219698, 0, 0.70208, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.61782, 0.292726, -11.3472, 0.0117949, 0.388097, 1.40463, 0.00958116, 0, 0, 0, 0.00225643, 0, 0, 0, 0, 0, 0, 0.554814, -1.26607, 0.0629189, 0, 0, 0.00400054, 0.0470108, 7689.2, 586.579, 326.096, 525.291, 219.89, 37.8634, 4.91155, 11.8167, 0, 0, 0, 0, 0, 
1987, 24.4286, 0, 1.0899, 269.332, 283.18, -7.3, 0, 49.6064, 0.395808, -0.74367, 10.5808, -1.08056, 17, 0.00219698, 0, 0.542035, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.61226, 7.80299, -0.877623, 0.0480431, 0.249876, 2.38763, 0.00900924, 0, 0, 0, 0.000183247, 0, 0, 0, 0, 0, 0, 2.6488, -0.202932, 0.0978888, 0, 0, 0.00386941, 0.0455382, 7689.25, 586.553, 326.788, 526.489, 219.891, 37.8635, 4.8983, 11.7968, 0, 0, 0, 0, 0, 
1987, 46.3474, 25.438, 2.86018, 240.829, 281.692, -8.1, 2, 70.7181, 0.671762, -3.16017, 30.922, 8.63426, 17, 0.00219698, 0, 0.53724, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.60671, 25.8115, 8.41361, 0.0647919, 0.506438, 4.54042, 0.00821103, 0, 0, 0, 0.00228711, 0, 0, 0, 0, 0, 0, 3.14299, 0.220654, 0.100531, 0, 0, 0.00359838, 0.034783, 7689.29, 586.534, 327.65, 527.68, 219.892, 37.8642, 4.88537, 11.7772, 0, 0, 0, 0, 0, 
1987, 27.914, 0, 1.24933, 263.612, 278.695, -8.7, 0, 8.03999, 0.0686203, -1.53154, 12.8301, 7.81822, 17, 0.00219698, 0, 0.497366, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.60115, 8.39954, 7.012, 0.0122077, 0.0335883, 2.6858, 0.00758589, 0, 0, 0, 0.00222993, 0, 0, 0, 0, 0, 0, 1.47011, 0.806217, 0.0228242, 0, 0, 0.00340327, 0.0270542, 7689.32, 586.518, 328.634, 528.863, 219.893, 37.8653, 4.87275, 11.7579, 0, 0, 0, 0, 0, 
1987, 24.4217, 0, 1.09477, 278.652, 293.324, -5.05, 0, 5.69867, 0.0449634, -1.23072, 9.74887, 4.62518, 17, 0.00219698, 0, 0.623231, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.5956, 5.1903, 4.10572, 0.00727278, 0.0215852, 2.38169, 0.00754036, 0, 0, 0, 0.0020893, 0, 0, 0, 0, 0, 0, 0.986786, 0.519467, 0.0161054, 0, 0, 0.00336552, 0.021675, 7689.35, 586.501, 328.931, 529.616, 219.894, 37.8661, 4.86841, 11.7479, 0, 0, 0, 0, 0, 
1987, 20.9296, 0, 0.939724, 287.322, 301.552, -3, 0, 31.4073, 0.180219, -0.744921, 6.69995, -0.677504, 17, 0.00219698, 0, 0.710555, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.59004, 3.75319, -0.657723, 0.0351777, 0.102663, 2.05656, 0.00795586, 0, 0, 0, 8.48781E-05, 0, 0, 0, 0, 0, 0, 1.20914, -0.0197808, 0.0423782, 0, 0, 0.00350587, 0.0247135, 7689.39, 586.479, 329.072, 530.364, 219.895, 37.8665, 4.86408, 11.7379, 0, 0, 0, 0, 0, 
